Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter for Android,NetsNot,02/05/2019 19:15,Extinction Rebellion stickers left at scene as controversial bird #nets vanish #Netting https://t.co/1JO8XkwWQI,United Kingdom,,1221
Twitter for Android,louiskasatkin,02/05/2019 19:15,And we can't even do #Brexit or #GiletsJaunes can we? be honest we'll be sucking up that EU globalist peoples vote… https://t.co/kXFQbFcGLI,"Wakefield, England",,429
Twitter Web Client,ematanzilli1,02/05/2019 19:15,Arrivano i ribelli per il clima: cos’è Extinction Rebellion e perché ne sentiremo parlareLeggi qui:… https://t.co/nx1WNHmGNA,Naples,,32
Hootsuite Inc.,MHBoys,02/05/2019 19:15,"If #Politicians Can’t Face #ClimateChange, #ExtinctionRebellion Will https://t.co/rn8UXNNEvn","Orange County, CA",,9538
Twitter for Android,Charms20491392,02/05/2019 19:14,Extinction Rebellion climate change protests cost police at least £7m. https://t.co/AhdwtcedpF via https://t.co/G5eArAKene,,,37
Twitter for Android,newsoveraudio,02/05/2019 19:14,"Driven by a purpose and built to last, Extinction Rebellion is an organisation you should get familiar with.Listen… https://t.co/R6U4jAiTyH","Dublin City, Ireland",,540
Twitter Web App,DrBridieH,02/05/2019 19:13,As doctors we have responsibility to care. Ignoring climate change is like ignoring early signs of cancer. Care abo… https://t.co/MRgfBOrGJb,"Inverness, Scotland",,87
TweetDeck,ExtraMediauk,02/05/2019 19:12,✊ Once semanas de protestas de Extinction Rebellion causaron grandes interrupciones en el centro de Londres y mucho… https://t.co/uFIWNfM3LB,London / UK,,816
Twitter for Android,DavidBHerbert,02/05/2019 19:11,@lbcbreaking And think of ferrying around all those officers and the huge carbon footprint.Extinction Rebellion. We act but don't think. 🙄,"Ambrosden, England",,595
Facebook,EnjeuxEnergies,02/05/2019 19:07,In the wake of the Extinction Rebellion riots that led to more than a thousand arrests with people gluing themselve… https://t.co/weDKIncsT3,,,1174
IFTTT,TravisLoyal,02/05/2019 19:05,👍 on @YouTube: The Extinction Rebellion https://t.co/A2QSfhFWgl,"Wisconsin, USA",,134
tvThirdEyeB,tvThirdEyeB,02/05/2019 19:05,BBCNEWS 12:04pm JOAN WARBURTON. ResidentFARHANA YAMIN. Extinction Rebellion,"San Francisco, CA",,231
Twitter Web Client,FabiusMaximus01,02/05/2019 19:04,@aDissentient The Extinction Rebellion's hysteria vs. climate science. Only one can win. Both can lose. We all can… https://t.co/l5o4eUaUq8,"America, the New Rome",,2813
Twitter Web App,aberniebird,02/05/2019 19:03,#ICYMI Extinction Rebellion activists claim victory in HS2 tree protest https://t.co/noIm2HmHHw,,,2769
Zapier.com,McrPulse,02/05/2019 19:02,OFFICIAL DAY SPLITS REVEALED AS 'KENDAL CALLING GOES JURASSIC' FOR 2019EXTINCTION REBELLION TO CURATE SPECIAL ARE… https://t.co/eAGok4AfQ3,Manchester,,14425
Twitter Web App,RedazioneLP,02/05/2019 19:00,Arrivano i ribelli per il clima: cos’è Extinction Rebellion e perché ne sentiremo parlareLeggi qui:… https://t.co/NvRuoCzJuk,Napoli,,2102
Twitter for iPhone,paddy_renwick,02/05/2019 18:53,Nice attempt by Corbyn to try and look like a proprietor of Extinction rebellion now he sees the shift in public op… https://t.co/XajngXhjec,,,50
Twitter for iPhone,masonfallon,02/05/2019 18:53,Extinction Rebellion climate change protests cost police at least £7mWankers  https://t.co/PaRT1yjzj3,England,,472
Twitter for iPhone,No_Beef_,02/05/2019 18:53,"Eating Raw Meat @ Extinction Rebellion Marble Arch, London - Meeting Pla... https://t.co/pwI3rBDtea via @YouTube","South West, England",,91
Twitter for Android,mizibak12,02/05/2019 18:50,@Lordbrexit The Truth About #ExtinctionRebellion Who runs Extinction Rebellion? What is the fourth industrial revol… https://t.co/KbOpaHOe6m,UK,,677
VipScandals,vscandals,02/05/2019 18:49,#VipScandals  Extinction Rebellion: Climate protests ‘diverting’ London police https://t.co/NxIUqbbG5h,,,883
Twitter Web Client,OliveOy53221888,02/05/2019 18:46,@spikedonline TRUTH - Extinction Rebellion misinformed ALL 'supporters'! Duped totally!Local Concils are to fell t… https://t.co/I01tuhx4aJ,,,288
Twitter Web App,KeillerDon,02/05/2019 18:43,Violent virtue-signalling. https://t.co/FvclbkPMN9,"Cambridge, England",,779
Facebook,_athinak_,02/05/2019 18:42,#XR https://t.co/9RJ93aoS77,United Kingdom,,1634
Twitter for iPhone,WBOceans,02/05/2019 18:41,Obsessed with Banksy’s new Extinction Rebellion work. https://t.co/GlMOQ4PHde #ExtinctionRebellion… https://t.co/cAOQA7Mv4B,"Sacramento, CA",,53
twittbot.net,Belizean_bz,02/05/2019 18:41,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/ubd81u1NLH,"Orange Walk, Belize",,92
twittbot.net,AnimalCommando,02/05/2019 18:40,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/SZJPKzuhAc,,,263
twittbot.net,thofafor,02/05/2019 18:40,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/X9mwbz1dHn,,,515
twittbot.net,Kattavernd_is,02/05/2019 18:40,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/8Y2A5pZy38,,,0
twittbot.net,edsandgut1,02/05/2019 18:40,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/TDYs7LpzhX,,,7
twittbot.net,spegilmynd,02/05/2019 18:40,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/RQVnVzmSn4,,,6
twittbot.net,PawPrintsLeft,02/05/2019 18:40,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/Njc7Vqjtzs,,,14
Twitter for iPhone,Michael06430667,02/05/2019 18:40,Met Police spent £7m - equivalent to HALF its budget for tackling knife crime - dealing with the Extinction Rebelli… https://t.co/4jpWHVhgQK,,,17
Twitter Web Client,OliveOy53221888,02/05/2019 18:39,@JuliaHB1 TRUTH - Extinction Rebellion misinformed ALL 'supporters'! Duped totally!Local Concils are to fell trees… https://t.co/IUFyjiCI89,,,288
EcoInternet3,EcoInternetDrGB,02/05/2019 18:38,Extinction Rebellion stickers left at scene as controversial anti-bird nets vanish from school site: Daily Post… https://t.co/ncI08RaMTx,"New York, NY",,23890
Twitter Web Client,OliveOy53221888,02/05/2019 18:37,@ActionBrexit @peanut_astro TRUTH - Extinction Rebellion misinformed ALL 'supporters'! Duped totally!Local Concils… https://t.co/RvnfeAKJ8n,,,288
Twitter for iPhone,louiseallain,02/05/2019 18:37,Am I suppose to have sympathy? They should have been shoved out on day one?! #lunacyMet Police spent £7m - equiva… https://t.co/8cwLSgjyg2,Westminster,,2826
Twitter Web Client,sbd1704,02/05/2019 18:36,@theresphysics @JamesGDyke @ProfMarkMaslin @JKSteinberger @rpancost @ExtinctionR @theFosterlab @GlobalEcoGuy… https://t.co/xjxJQuHqGq,,,100
Twitter Web Client,domesticbod,02/05/2019 18:36,"Embassy of Brazil, London. 1st May 2019. Extinction Rebellion London and Extinction Rebellion Fashion Action demons… https://t.co/nh92fPja5h",Westcliff on Sea,,441
Twitter Web Client,domesticbod,02/05/2019 18:35,"Embassy of Brazil, London. 1st May 2019. Extinction Rebellion London and Extinction Rebellion Fashion Action demons… https://t.co/1gh4cjsLHE",Westcliff on Sea,,441
Twitter Web Client,domesticbod,02/05/2019 18:34,"Embassy of Brazil, London. 1st May 2019. Extinction Rebellion London and Extinction Rebellion Fashion Action demons… https://t.co/Ai6WQG9umD",Westcliff on Sea,,441
Twitter for Android,MareaBlancaCAT,02/05/2019 18:34,Extinction Rebellion Germany @extinctionrebellion @ExtinctionR_DE@EsXrebellion«La esperanza muere – comienza la a… https://t.co/PiBGR9hy7m,,,5477
Twitter Web Client,FA7832,02/05/2019 18:33,@spikedonline @dorlandcaz I don't think Extinction Rebellion are the grassroots concerned citizen movement they may… https://t.co/1zaZt7D35v,"England, United Kingdom",,180
Twitter for iPhone,annetteand2dogs,02/05/2019 18:33,@Rubberbandits Extinction Rebellion Ireland,Dublin and Leitrim,,477
Twitter Web Client,domesticbod,02/05/2019 18:33,"Embassy of Brazil, London. 1st May 2019. Extinction Rebellion London and Extinction Rebellion Fashion Action demons… https://t.co/r1J77hosDx",Westcliff on Sea,,441
Twitter Web Client,extinctsymbol,02/05/2019 18:30,Extinction Rebellion stickers left at scene as controversial anti-bird nets vanish: https://t.co/plR2G414Kw,,,65065
Twitter for iPhone,AaaWaingels,02/05/2019 18:30,Some fantastic AAA projects going on today - year 9 debating whether the extinction rebellion protests have gone to… https://t.co/cRT4ikphgT,,,82
dlvr.it,Eco_WebHost,02/05/2019 18:29,Thousands block roads in Extinction Rebellion protests across London - The Guardian https://t.co/3zth53udK9,,,119
Twitter for Android,chrislibertynow,02/05/2019 18:27,"@LensNarration @JohnMarcmail @GreenRupertRead One of the founders of extinction rebellion,  roger hallam has studie… https://t.co/nktNNkS3XQ",,,41
Twitter Web App,joeomall,02/05/2019 18:26,@GretaThunberg Extinction Rebellion was a front to deflect news away from the 5G roll out. Involved are Govt agen… https://t.co/0f1cvKcipN,UK - ENGLAND,,819
Twitter Web App,jivinmalc,02/05/2019 18:26,"Extinction Rebellion protests cost police extra £7m, Met boss says",United Kingdom,,813
Twitter Web App,BSEYoga,02/05/2019 18:26,"@polyp2000 @JohnBibleBrexit @JoePorterUK @Conservatives Dude, it's not a fashion thing; we're going through the… https://t.co/kqYe0gbdaI","East, England",,2662
Twitter for Android,YouthLoneliness,02/05/2019 18:25,"Care, it seems to me, is knitted into the fabric of what Extinction Rebellion is about ... There is also a skill,… https://t.co/3zxxkiX7hY	Manchester, UK		985
Twitter for iPhone	cryptodani	02/05/2019 18:24	Opinion | If Politicians Can’t Face Climate Change, Extinction Rebellion Will - The New York Times… https://t.co/kDJFXk3Yss	Decentralized		403
Twitter Web Client	DeSmogBlog	02/05/2019 18:24	'Climate Emergency': How Extinction Rebellion's language of urgency is shaping the political agenda | @DeSmogUK https://t.co/7Iw2Omkvu9	Everywhere		104112
Twitter Web Client	SyedMAbubakar	02/05/2019 18:22	Shame on #dailymail for this. Even if the police incurred a cost in dealing with #XR protesting, it has led to bigg… https://t.co/zzLPy8IJaz	Cardiff, Wales		1411
Paper.li	disabledanimals	02/05/2019 18:21	Extinction Rebellion succeeded where most climate protests fail https://t.co/WJ2L8fYjGW	UK		1124
Twitter for Android	JKJacob09	02/05/2019 18:20	Nothing quite makes a statement like socialist red. https://t.co/pQofQ8PvGE	Utah, USA		192
Twitter Web App	ANUND66	02/05/2019 18:19	@gudargod @DragonXXX Fejk bild.Boken heter No one is too small to make a difference""Utges av brittiska Penguin B… https://t.co/8l9g6EZhhL",,,183
Twitter for iPhone,ExtinctionRDK,02/05/2019 18:14,"Extinction Rebellion går ind for netto nul udledning i 2025, så produktionen skal helst nedlægges så hurtigt som mu… https://t.co/BrGDENToVU",Denmark,,1488
