Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter for Android,NetsNot,02/05/2019 19:15,Extinction Rebellion stickers left at scene as controversial bird #nets vanish #Netting https://t.co/1JO8XkwWQI,United Kingdom,,1221
Twitter for Android,louiskasatkin,02/05/2019 19:15,And we can't even do #Brexit or #GiletsJaunes can we? be honest we'll be sucking up that EU globalist peoples vote… https://t.co/kXFQbFcGLI,"Wakefield, England",,429
Twitter Web Client,ematanzilli1,02/05/2019 19:15,Arrivano i ribelli per il clima: cos’è Extinction Rebellion e perché ne sentiremo parlareLeggi qui:… https://t.co/nx1WNHmGNA,Naples,,32
Hootsuite Inc.,MHBoys,02/05/2019 19:15,"If #Politicians Can’t Face #ClimateChange, #ExtinctionRebellion Will https://t.co/rn8UXNNEvn","Orange County, CA",,9538
Twitter for Android,mizibak12,02/05/2019 18:50,@Lordbrexit The Truth About #ExtinctionRebellion Who runs Extinction Rebellion? What is the fourth industrial revol… https://t.co/KbOpaHOe6m,UK,,677
Twitter Web Client,OliveOy53221888,02/05/2019 18:46,@spikedonline TRUTH - Extinction Rebellion misinformed ALL 'supporters'! Duped totally!Local Concils are to fell t… https://t.co/I01tuhx4aJ,,,288
twittbot.net,Belizean_bz,02/05/2019 18:41,@Kattavernd Extinction Rebellion stickers left at scene as controversial anti-bird nets vani  https://t.co/ubd81u1NLH,"Orange Walk, Belize",,92
Twitter for Android,NetsNot,02/05/2019 19:15,1Extinction Rebellion stickers left at scene as controversial bird #nets vanish #Netting https://t.co/1JO8XkwWQI,United Kingdom,,1221
Twitter for Android,NetsNot,02/05/2019 19:15,2Extinction Rebellion stickers left at scene as controversial bird #nets vanish #Netting https://t.co/1JO8XkwWQI,United Kingdom,,1221
Twitter for Android,NetsNot,02/05/2019 19:15,3Extinction Rebellion stickers left at scene as controversial bird #nets vanish #Netting https://t.co/1JO8XkwWQI,United Kingdom,,1221
