Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter Web App,AndrewMichae1,05/05/2019 14:34,Meanwhile In Germany...Do they work?And im pretty sure they are all millennials...🤦‍♂️Why am I in this age gr… https://t.co/DbhhbKzzQ2,,,869
Twitter for Android,finneran20,05/05/2019 14:31,"@AbbyMartin you shouldnt be following Greta Thunberg the media had nothing to do with us , when we were anti fracki… https://t.co/uBVY8uxxFa",,,193
Twitter for iPad,RainBuffalo,05/05/2019 14:29,Watched Masterpiece’s Les Miserables. Read in high school 1968. Read in college 1974. This series brought the visua… https://t.co/mreZh2PXpW,,,101
Facebook,akshagrawal08,05/05/2019 14:28,Extinction Rebellion has a message for the world - We've only just begun https://t.co/jJ632WvUjc,,,5
Twitter Web Client,HAJapan,05/05/2019 14:28,Extinction Rebellion: Risking Their Freedom For Climate Changehttps://t.co/ydSFdJfqaf#climatechange #GlobalWarming #ExtinctionRebellion,"Tokyo, Japan",,56
Twitter Web Client,NetNewsBuzz,05/05/2019 14:27,"An Open Letter to Extinction Rebellion - ""The fight for climate justice is the fight of our lives, and we need to d… https://t.co/NJAUHjeV0I",USA,,3720
Twitter for iPhone,bobmca1,05/05/2019 14:27,McDonnell: I Just Love Extinction Rebellion... They're Brilliant https://t.co/SNUTMXwKq2 via @GuidoFawkes,"Scotland, UK",,22511
Twitter Web Client,JaneKBrundage,05/05/2019 14:20,An Open Letter to #ExtinctionRebellion #IndigenousPeoples #ClimateJustice #ClimateCrisis #GlobalSouth #Colonialism… https://t.co/Z9O874TnS2,"Coyoacán, Mexico City",,100
Twitter Web Client,DrHollyChampion,05/05/2019 14:15,@DanielJohnsHQ we would love to have you perform at one of our Extinction Rebellion NSW events some time - feel fre… https://t.co/0BeTS9xjKz,Sydney,,30
Twitter for iPhone,SophiaSleigh,05/05/2019 14:14,"Well if I learnt anything from Extinction Rebellion, it’s that acetone removes superglue. Just managed to glue my h… https://t.co/Kfb5e4Ftgb","London, England",,3004
Twitter Web App,Julie34479,05/05/2019 14:13,McDonnell: I Just Love Extinction Rebellion… They’re Brilliant https://t.co/WTRmxwRowk,uk,,1397
Twitter for iPad,kingsflag007,05/05/2019 14:11,"@RealMediaGB @ExtinctionR So who funded Extinction Rebellion,","England, United Kingdom",,175
Twitter Web App,sarper_d,05/05/2019 14:09,"@esraercan Evet çok haklısınız. Günümüzde, Extinction Rebellion gibi oluşumlar bu konuda mesafe katetmeye pek niyet… https://t.co/8kyrls7aT1",istanbul,,284
Twitter Web Client,Sozzinski,05/05/2019 14:07,McDonnell: I Just Love Extinction Rebellion... They're Brilliant https://t.co/f2r23HwdUN via @GuidoFawkes,"Central London, UK",,3398
Twitter for iPad,ladiesgun,05/05/2019 14:06,How to stop climate change? Nationalise the oil companies | Owen Jones | Opinion | The Guardian https://t.co/AQe37EJqYl,"Planet Earth, Team PMJT.",,36553
Twitter for Android,ncr16,05/05/2019 14:01,McDonnell: I Just Love Extinction Rebellion... They're Brilliant https://t.co/KTeNABDfdo via @GuidoFawkes,,,1058
Buffer,ROAR_Magazine,05/05/2019 14:00,"John Jordan, an activist from the ZAD, writes an open letter to #ExtinctionRebellion: ""I want to write to you about… https://t.co/ucX02Z9k3r",,,16406
