,Sender,Receiver
0,ACFlory,GreenSportsBlog
1,TristanCorkPost,XRBristol
2,TristanCorkPost,ExtinctionR
3,TristanCorkPost,BristolLive
4,vitenzon,impakterdotcom
5,MaebhNiF,KristofDecoste1
6,mikeymikedoha,BristolLive
7,jam_har,NorwichXr
8,jam_har,NorfolkCC
9,NorwichXr,NorwichXr
10,NorwichXr,NorfolkCC
11,GreenParkRoncy,XR_Toronto
12,XRLewisham,XrSutton
13,mcahs2,XRBristol
14,joanne_topalian,DrChrisNewman
15,eatonet,DrChrisNewman
16,skidadddle,GlumBird
17,XR_Dresden,bmj_latest
18,FancourtAmy,DrChrisNewman
19,NursesXr,DrChrisNewman
20,JaneWri82466257,WaltzingCom
21,DavidGa22219103,XRBrentLondon
22,Green11TO,XR_Toronto
23,copwatcher,alexdoherty7
24,copwatcher,ExtinctionR
25,beccastar1982,ExtinctionR
26,JulzeAlejandre,bmj_latest
27,MillieBurt,bmj_latest
28,DoctorsXr,bmj_latest
29,Anna__Ludvigsen,DrChrisNewman
30,Oldcroc5,AltDelate
31,Oldcroc5,sharonodea
32,Oldcroc5,campbellclaret
33,Oldcroc5,peoplesvote_uk
34,tomwallace1990,nyet_a_russian
35,Oldcroc5,Grarm8
36,Oldcroc5,hilarybennmp
37,Oldcroc5,campbellclaret
38,SFPTomMalina,ExtinctionR
39,scazmendy15,Tav_assoli
40,tomwallace1990,nyet_a_russian
41,mrchrisadams,1DrGeography
42,SmallBig_Change,EVNewsDaily
43,moonflowerpress,iamjackv
44,stef_obrien_nz,LizzieMarvelly
45,hartsfleurs,ExtinctionR
46,UKClimateSOS,SouthwestLabour
47,poltheoryother,ExtinctionR
48,iainpdooley,michaelgove
49,gecko39,gecko39
50,spursfandom,alexdoherty7
51,spursfandom,ExtinctionR
52,alexdoherty7,alexdoherty7
53,alexdoherty7,ExtinctionR
54,tarapussycat,ricklevy67
55,Aniuchaaja,rushkoff
56,poltheoryother,poltheoryother
57,poltheoryother,tribunemagazine
58,poltheoryother,ExtinctionR
59,jwhiffin,ExtinctionR
60,milano_xr,XRIslington
61,milano_xr,IslingtonBC
62,tribunemagazine,poltheoryother
63,tribunemagazine,tribunemagazine
64,tribunemagazine,ExtinctionR
65,filosofical_140,redpeppermag
66,CorserNigel,talkfracking
67,JustinPortess,islingtongztte
68,TullyMatt,matthabusby
69,JunkkMale,SupportOurLefty
70,Gbildet2,impakterdotcom
71,hakobiant,impakterdotcom
72,By2020WeRiseUp,ExtinctionR
73,By2020WeRiseUp,GearyBaulch
74,ItzQuauhtli,ItzQuauhtli
75,ItzQuauhtli,ItzQuauhtli
76,andreammnasca,XRIslington
77,andreammnasca,IslingtonBC
78,sam_ross2020,Tiredearth
79,MorpheusBeing,ricklevy67
80,ElDiosdeGuerra,ItzQuauhtli
81,ElDiosdeGuerra,enriquedans
82,ElDiosdeGuerra,ItzQuauhtli
83,FarfallaNegra,ItzQuauhtli
84,FarfallaNegra,enriquedans
85,oki_neswan,Independent
86,FarfallaNegra,ItzQuauhtli
87,Julieoz836,soli_aus
88,Jmc75J,LeeCamp
89,Rangewriterbiz,MagazineSierra
90,350Madison,XR_Madison
91,habeebiinta,ricklevy67
92,AndyAnimalLover,CBrentPatterson
93,RobinAlfred1,Mythodrama
94,RobinAlfred1,RobinAlfred1
95,RobinAlfred1,gailbradbrook
96,RobinAlfred1,ExtinctionR
97,ky14777,Yuumei_Art
98,suakini3,XRIslington
99,suakini3,IslingtonBC
100,randlight,ricklevy67
101,alexdoherty7,ImNotaDemocrat1
102,hrazaamom,ExtinctionR
103,hrazaamom,GearyBaulch
104,kwekuboatin,impakterdotcom
105,JoanieOC,joewardpr
106,_ms_mak,ExtinctionR
107,_ms_mak,GearyBaulch
108,jacquemandeno,theactionnet
109,UristInFurs,Anarcish
110,Jackthelad1947,ricklevy67
111,DartmouthCommon,ExtinctionR
112,DartmouthCommon,GearyBaulch
113,Prince___007,ExtinctionR
114,Prince___007,GearyBaulch
115,ExtinctionR,GearyBaulch
116,WgarNews,ricklevy67
117,Zarathhustra,ricklevy67
118,SolidarityCan,AttaSop
119,SolidarityCan,NewStatesman
120,OwenDLFord,CBrentPatterson
121,PaulHBeckwith,CBrentPatterson
122,aFieldSomewhere,XRBrighton
123,maybelleb3,ricklevy67
124,SharonSki666,ricklevy67
125,hackbridgestink,XrSutton
126,neutralbrit,talkfracking
127,Happyhappyhaps,CBrentPatterson
128,rachelknibb01,ExtinctionR
129,herefordrob,herefordrob
130,uncooljohn1,XRIslington
131,uncooljohn1,IslingtonBC
132,DerekMeers,tolulaadeyemi
133,enviromads,ExtinctRebelsIE
134,DeanAmb73120927,wwwdaredevil666
135,0rientsupporter,uklabour
136,Jamesjohn081012,RedHotSquirrel
137,Jamesjohn081012,GreenLeavesorg
138,koniaros,CBrentPatterson
139,colinastone,XR_Quebec
140,KobaltSteel,XrSutton
141,HarounHickman,rzrz0_
142,themockler,XR_Toronto
143,Audhumla3,circle3triangle
144,adrianlitvinoff,XRIslington
145,adrianlitvinoff,IslingtonBC
146,Juliet_hd,bmj_latest
147,CreighMatt,XRIslington
148,CreighMatt,IslingtonBC
149,cathyburgess22,SonyaMcKay13
150,cathyburgess22,MarkRuffalo
151,cathyburgess22,100isNow
152,cathyburgess22,ChrisEvans
153,cathyburgess22,chrishemsworth
154,cathyburgess22,AnnastaciaMP
155,cathyburgess22,stopadani
156,cathyburgess22,AYCC
157,cathyburgess22,ShoebridgeMLC
158,cathyburgess22,algore
159,cathyburgess22,climatecouncil
160,DavidHeap,CBrentPatterson
161,ExtinctionR,XRIslington
162,ExtinctionR,IslingtonBC
163,Chriswilts17,profsked
164,JenGwenBrown,GreenRupertRead
165,michaeldwebb,farhanaclimate
166,AMFRobertson,stripeplus1
167,NTwomeynoel,tribunemagazine
168,NTwomeynoel,ExtinctionR
169,paulberryMWBB,flint_writes
170,eilidhmurray3,islingtongztte
171,FrackFreeNotts,talkfracking
172,jesstait01,XrSutton
173,jazzbeauchamp,CambrianNews
174,clearmapping,AtlasFuture
175,clearmapping,ExtinctionR
176,Anothergreen,ButeRebellion
177,paulmizen1,Femi_Sorry
178,HallyMk1,GBCLegal
179,Feenwald,XrSutton
180,lisagoldapple,AtlasFuture
181,lisagoldapple,ExtinctionR
182,Mudgeado,XrSutton
183,AtlasFuture,ExtinctionR
184,CharismaAlasta2,johnpilger
185,IanJSinclair,alexdoherty7
186,IanJSinclair,ExtinctionR
187,Christina140767,XrSutton
188,sland2ocdsb,CBrentPatterson
189,thebohosapien,XrSutton
190,seagerworld,TheCastleBude
191,Climatepledgeco,CBrentPatterson
192,LouiseCareer,YouGenUK
193,Openly_Gaylic,XrSutton
194,XRBradford,CBrentPatterson
195,AsiliAnga,CBrentPatterson
196,OttawaRebellion,CBrentPatterson
197,xRebelCanada,CBrentPatterson
198,L__a__n__e,alexdoherty7
199,L__a__n__e,ExtinctionR
200,alexdoherty7,poltheoryother
201,alexdoherty7,tribunemagazine
202,alexdoherty7,ExtinctionR
203,poltheoryother,tribunemagazine
204,poltheoryother,ExtinctionR
205,a_love_3,poltheoryother
206,alexdoherty7,ExtinctionR
207,stevenjlally,XrSutton
208,Ann_dLandes,CBrentPatterson
209,knastergast,XrSutton
210,ExtinctionR,XrSutton
211,legant66,CBrentPatterson
212,hannahsimmons11,WomensPeaceCou1
213,hannahsimmons11,redpeppermag
214,energisch_,CBrentPatterson
215,Vcrow,snoopfish
216,Vcrow,TheNovaNotes
217,WomensPeaceCou1,redpeppermag
218,Ale_duBesse,impakterdotcom
219,CharnaillatClem,impakterdotcom
220,Lykos_Phi,ExtinctionR
221,Transcendental1,NorwichXr
222,Transcendental1,NorfolkCC
223,SenseiChanning,matthabusby
224,baubo60,ExtinctionR
225,NorwichXr,NorfolkCC
226,morqon,poltheoryother
227,MicheleBonanno_,impakterdotcom
228,JakeLachman,impakterdotcom
229,leninology,poltheoryother
